txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN001,13-01-2024,Swiggy,450.00,INR,SUCCESS,Food,ACC001,
TXN002,2024/01/14,Amazon India,890.00,INR,success,Shopping,ACC001,
TXN003,2024/01/15,Zomato,620.00,INR,SUCCESS,,ACC001,
TXN004,15-01-2024,Ola,380.00,inr,SUCCESS,Transport,ACC001,
TXN005,2024/01/17,Netflix,599.00,INR,success,Entertainment,ACC001,
TXN006,18-01-2024,Blinkit,520.00,INR,SUCCESS,Food,ACC001,
TXN007,2024/01/20,Jio Recharge,239.00,INR,SUCCESS,Utilities,ACC001,
TXN008,21-01-2024,Airtel,399.00,inr,SUCCESS,Utilities,ACC001,
TXN009,2024/01/23,Swiggy,480.00,INR,SUCCESS,Food,ACC001,
TXN010,24-01-2024,Rapido,180.00,INR,SUCCESS,Transport,ACC001,
TXN011,2024/01/25,Zomato,720.00,INR,SUCCESS,,ACC001,
TXN012,25-01-2024,Swiggy,45000.00,INR,SUCCESS,,ACC001,SUSPICIOUS
TXN013,2024/01/27,Flipkart,$2200.00,INR,SUCCESS,Shopping,ACC001,
TXN014,28-01-2024,GitHub,840.00,INR,SUCCESS,,ACC001,
TXN015,2024/01/30,BigBasket,1150.00,INR,SUCCESS,Shopping,ACC001,
TXN016,31-01-2024,Myntra,1800.00,INR,SUCCESS,Shopping,ACC001,
TXN017,2024/02/02,Swiggy,510.00,INR,SUCCESS,Food,ACC001,
TXN018,03-02-2024,IRCTC,1200.00,USD,SUCCESS,Travel,ACC001,SUSPICIOUS
TXN019,2024/02/05,Amazon India,750.00,INR,SUCCESS,Shopping,ACC001,
TXN020,07-02-2024,Blinkit,620.00,INR,SUCCESS,Food,ACC001,
TXN021,2024/01/14,Ola,350.00,INR,SUCCESS,Transport,ACC002,
TXN022,2024/01/16,Netflix,599.00,INR,success,Entertainment,ACC002,
TXN023,17-01-2024,Swiggy,520.00,INR,FAILED,,ACC002,
TXN024,2024/01/18,Rapido,210.00,INR,SUCCESS,Transport,ACC002,
TXN025,19-01-2024,ATM Withdrawal,28000.00,INR,SUCCESS,Cash Withdrawal,ACC002,SUSPICIOUS
TXN026,2024/01/21,Amazon India,680.00,INR,SUCCESS,,ACC002,
TXN027,22-01-2024,Jio Recharge,239.00,INR,SUCCESS,Utilities,ACC002,
TXN028,2024/01/24,Zomato,750.00,INR,SUCCESS,Food,ACC002,
TXN029,25-01-2024,Airtel,399.00,INR,SUCCESS,Utilities,ACC002,
TXN030,2024/01/27,BigBasket,890.00,INR,SUCCESS,Shopping,ACC002,
TXN031,29-01-2024,Flipkart,1100.00,INR,SUCCESS,Shopping,ACC002,
TXN032,2024/01/31,Ola,420.00,INR,SUCCESS,Transport,ACC002,
TXN033,01-02-2024,Swiggy,490.00,INR,SUCCESS,Food,ACC002,
TXN034,2024/02/03,Myntra,1650.00,INR,SUCCESS,,ACC002,
TXN035,04-02-2024,Uber,320.00,USD,SUCCESS,Transport,ACC002,
TXN036,2024/02/06,Spotify,169.00,INR,success,,ACC002,
